Type	LineID	dvariant_NB
NaN	NaN0800	55
NaN	NaN83	56
NaN	NaN1992	26
NaN	NaN1228	43
NaN	NaN309	17
NaN	NaN2272	34
NaN	NaN0717	63
NaN	NaN212	29
NaN	NaN1796	60
NaN	NaN0953	30
NaN	NaN1610	3
NaN	NaN1814	42
NaN	NaN1909	45
NaN	NaN1450	16
NaN	NaN2067	66
NaN	NaN1459	20
NaN	NaN0892	52
NaN	NaN367	70
NaN	NaN228	20
NaN	NaN1643	38
NaN	NaN2107	38
NaN	NaN272	21
NaN	NaN158	63
NaN	NaN1619	33
NaN	NaN1900	30
NaN	NAN351	41
NaN	NaN1931	1
NaN	NaN2167	22
NaN	NaN0945	28
NaN	NaN2033	7
NaN	NaN1415	32
NaN	NaN1096	30
NaN	NaN0017	103
NaN	NaN2007	39
NaN	NaN379	41
NaN	NaN1969	46
NaN	NaN149	6
NaN	NaN1135	55
NaN	NaN1655	43
NaN	NaN1509	66
NaN	NaN0851	42
NaN	NaN0553	18
NaN	NaN1500	4
NaN	NaN198	36
NaN	NaN1867	40
NaN	NaN0872	66
NaN	NaN369	47
NaN	NaN1755	70
NaN	NaN2014	19
NaN	NaN0004	18
NaN	NaN2200	19
NaN	NaN1710	28
NaN	NaN0545	16
NaN	NaN1383	46
NaN	NaN1833	30
NaN	NaN2338	42
NaN	NaN1531	21
NaN	NaN1807	48
NaN	NaN1560	23
NaN	NaN1743	57
NaN	NaN2114	40
NaN	NaN1076	45
NaN	NaN377	48
NaN	NaN1719	6
NaN	NaN2269	61
NaN	NaN527	44
NaN	NaN262	35
NaN	NaN147	14
NaN	NaN0933	43
NaN	NaN0907	35
NaN	NaN449	15
NaN	NaN1110	70
NaN	NaN1430	20
NaN	NaN182	6
NaN	NaN0704	17
NaN	NaN1482	21
NaN	NaN1439	55
NaN	NaN317	36
NaN	NaN1688	25
NaN	NaN1055	27
NaN	NaN1143	28
NaN	NaN2306	28
NaN	NaN0617	53
NaN	NaN2153	28
NaN	NaN1397	50
NaN	NaN1696	31
NaN	NaN2045	36
NaN	NaN1119	46
NaN	NaN0628	46
NaN	NaN1951	2
NaN	NaN1204	40
NaN	NaN1010	56
NaN	NaN0764	41
NaN	NaN2145	33
NaN	NaN0641	32
NaN	NaN1019	49
NaN	NaN1592	32
NaN	NaN307	44
NaN	NaN1776	39
NaN	NaN1155	63
NaN	NaN0967	36
NaN	NaN1635	50
NaN	NaN1972	31
NaN	NaN206	34
NaN	NaN0991	47
NaN	NaN0571	26
NaN	NaN1208	28
NaN	NaN0036	18
NaN	NaN0768	23
NaN	NaN1587	23
NaN	NaN0552	31
NaN	NaN210	29
NaN	NaN0624	127
NaN	NaN0820	44
NaN	NaN1361	17
NaN	NaN1330	50
NaN	NaN1880	35
NaN	NaN216	31
NaN	NaN1684	62
NaN	NaN1742	50
NaN	NaN1946	14
NaN	NaN323	6
NaN	NaN0708	45
NaN	NaN1268	65
NaN	NaN1832	11
NaN	NaN1889	35
NaN	NaN1497	33
NaN	NaN29	17
NaN	NaN0656	16
NaN	NaN1339	37
NaN	NaN1382	14
NaN	NaN0980	39
NaN	NaN42	44
NaN	NaN2152	28
NaN	NaN251	13
NaN	NaN0846	9
NaN	NaN1483	31
NaN	NaN2118	48
NaN	NaN121	28
NaN	NaN276	33
NaN	NaN1142	20
NaN	NaN137	37
NaN	NaN2334	52
NaN	NaN0675	29
NaN	NaN0989	33
NaN	NaN0932	17
NaN	NaN2027	30
NaN	NaN0736	14
NaN	NaN1236	18
NaN	NaN2018	54
NaN	NaN0008	8
NaN	NaN1973	30
NaN	NaN1042	17
NaN	NaN2052	36
NaN	NaN1891	10
NaN	NaN1929	51
NaN	NaN1593	28
NaN	NaN2071	68
NaN	NaN2127	59
NaN	NaN270	10
NaN	NaN1920	54
NaN	NaN0795	27
NaN	NaN207	19
NaN	NaN0711	91
NaN	NaN0561	54
NaN	NaN0863	36
NaN	NaN1327	54
NaN	NaN1557	25
NaN	NaN1815	48
NaN	NaN0582	44
NaN	NaN0539	35
NaN	NaN442	24
NaN	NaN1522	30
NaN	NaN1414	50
NaN	NaN1371	33
NaN	NaN1278	67
NaN	NaN1134	34
NaN	NaN1654	39
NaN	NaN1850	13
NaN	NaN0747	20
NaN	NaN217	11
NaN	NaN2342	15
NaN	NaN1859	8
NaN	NaN1318	37
NaN	NaN0803	24
NaN	NaN0698	33
NaN	NaN1211	43
NaN	NaN0686	88
NaN	NaN1352	35
NaN	NaN0944	26
NaN	NaN2139	31
NaN	NaN2182	46
NaN	NaN0950	59
NaN	NaN1613	49
NaN	NaN2001	7
NaN	NaN0011	66
NaN	NaN1453	26
NaN	NaN277	34
NaN	NaN1734	33
NaN	NaN1649	6
NaN	NaN1640	84
NaN	NaN1844	42
NaN	NaN136	33
NaN	NaN75	8
NaN	NaN2130	29
NaN	NaN0959	16
NaN	NaN1903	29
NaN	NaN2161	30
NaN	NaN0665	62
NaN	NaN1937	19
NaN	NaN1445	47
NaN	NaN0605	17
NaN	NaN2101	15
NaN	NaN1963	25
NaN	NaN130	23
NaN	NaN2039	67
NaN	NaN269	28
NaN	NaN2082	52
NaN	NaN2030	63
NaN	NaN2061	31
NaN	NaN0915	22
NaN	NaN140	18
NaN	NaN0583	21
NaN	NaN1345	10
NaN	NaN370	21
NaN	NaN2097	29
NaN	NaN1877	17
NaN	NaN1225	23
NaN	NaN1166	39
NaN	NaN1785	27
NaN	NaN294	24
NaN	NaN1990	15
NaN	NaN2319	28
NaN	NaN1353	6
NaN	NaN2343	48
NaN	NaN1570	12
NaN	NaN0802	42
NaN	NaN0725	15
NaN	NaN376	13
NaN	NaN1579	2
NaN	NaN1738	35
NaN	NaN1066	45
NaN	NaN2223	43
NaN	NaN1821	28
NaN	NaN146	37
NaN	NaN1999	12
NaN	NaN2310	32
NaN	NaN1523	24
NaN	NaN2279	45
NaN	NaN0948	50
NaN	NaN300	21
NaN	NaN1706	27
NaN	NaN1902	36
NaN	NaN0694	13
NaN	NaN1471	43
NaN	NaN1314	29
NaN	NaN0921	44
NaN	NaN223	30
NaN	NaN1452	4
NaN	NaN0899	33
NaN	NaN316	24
NaN	NaN1138	9
NaN	NaN1658	68
NaN	NaN1418	22
NaN	NaN153	34
NaN	NaN1612	54
NaN	NaN1427	31
NaN	NaN424	27
NaN	NaN455	25
NaN	NaN1981	39
NaN	NaN0774	29
NaN	NaN310	35
NaN	NaN0597	16
NaN	NaN1516	89
NaN	NaN2083	58
NaN	NaN1962	20
NaN	NaN0977	51
NaN	NaN2216	48
NaN	NaN1766	52
NaN	NaN446	31
NaN	NaN2335	5
NaN	NaN2202	39
NaN	NaN1502	28
NaN	NaN0674	32
NaN	NaN0870	45
NaN	NaN1491	34
NaN	NaN193	76
NaN	NaN1294	63
NaN	NaN0879	36
NaN	NaN1666	38
NaN	NaN0823	51
NaN	NaN1333	38
NaN	NaN2281	64
NaN	NaN1307	38
NaN	NaN1606	39
NaN	NaN1581	18
NaN	NaN1883	32
NaN	NaN1758	15
NaN	NaN0577	65
NaN	NaN1562	10
NaN	NaN1712	29
NaN	NaN2262	15
NaN	NaN1916	51
NaN	NaN0997	31
NaN	NaN132	5
NaN	NaN0983	49
NaN	NaN0625	29
NaN	NaN2077	47
NaN	NaN2121	40
NaN	NaN1480	33
NaN	NaN225	7
NaN	NaN1432	10
NaN	NaN0816	11
NaN	NaN1158	22
NaN	NaN1897	71
NaN	NaN1638	56
NaN	NaN2148	51
NaN	NaN155	26
NaN	NaN2021	57
NaN	NaN1970	40
NaN	NaN453	35
NaN	NaN1590	46
NaN	NaN391	31
NaN	NaN2048	30
NaN	NaN1923	29
NaN	NaN1012	31
NaN	NaN1599	28
NaN	NaN2299	31
NaN	NaN1979	37
NaN	NaN1685	32
NaN	NaN1054	38
NaN	NaN0822	30
NaN	NaN0705	34
NaN	NaN0550	13
NaN	NaN1126	44
NaN	NaN279	16
NaN	NaN1537	64
NaN	NaN1801	23
NaN	NaN1503	30
NaN	NaN2203	35
NaN	NaN1713	1
NaN	NaN2263	30
NaN	NaN1380	33
NaN	NaN2144	17
NaN	NaN1026	18
NaN	NaN372	18
NaN	NaN1154	57
NaN	NaN1634	17
NaN	NaN1749	50
NaN	NaN1830	41
NaN	NaN1563	39
NaN	NaN267	17
NaN	NaN328	48
NaN	NaN1740	51
NaN	NaN1839	9
NaN	NaN1882	34
NaN	NaN534	50
NaN	NaN0857	28
NaN	NaN1205	14
NaN	NaN0765	22
NaN	NaN1332	48
NaN	NaN1389	36
NaN	NaN2159	8
NaN	NaN209	27
NaN	NaN312	9
NaN	NaN0930	94
NaN	NaN518	38
NaN	NaN0961	40
NaN	NaN1113	28
NaN	NaN1407	20
NaN	NaN0005	24
NaN	NaN1433	53
NaN	NaN2015	38
NaN	NaN1754	43
NaN	NaN430	13
NaN	NaN0798	62
NaN	NaN1140	64
NaN	NaN0939	12
NaN	NaN0982	15
NaN	NaN0786	29
NaN	NaN1957	14
NaN	NaN1391	12
NaN	NaN1286	39
NaN	NaN0611	34
NaN	NaN302	49
NaN	NaN2059	57
NaN	NaN1726	42
NaN	NaN219	56
NaN	NaN1922	4
NaN	NaN436	15
NaN	NaN0544	36
NaN	NaN0678	9
NaN	NaN1467	15
NaN	NaN0901	17
NaN	NaN1751	61
NaN	NaN0964	32
NaN	NaN118	5
NaN	NaN2288	24
NaN	NaN1596	28
NaN	NaN1588	35
NaN	NaN1772	27
NaN	NaN1207	25
NaN	NaN0767	21
NaN	NaN1976	16
NaN	NaN0707	27
NaN	NaN0733	60
NaN	NaN0614	56
NaN	NaN0810	49
NaN	NaN1394	73
NaN	NaN1535	28
NaN	NaN1486	27
NaN	NaN0904	32
NaN	NaN0819	71
NaN	NaN2302	73
NaN	NaN0541	51
NaN	NaN0653	26
NaN	NAN356	41
NaN	NaN1609	31
NaN	NaN1910	33
NaN	NaN397	34
NaN	NaN1943	11
NaN	NaN1072	5
NaN	NaN1465	22
NaN	NaN359	35
NaN	NaN1600	11
NaN	NaN1919	27
NaN	NaN1804	31
NaN	NaN1864	27
NaN	NaN134	12
NaN	NaN1660	22
NaN	NaN1631	44
NaN	NaN0033	130
NaN	NaN1405	15
NaN	NaN0007	20
NaN	NaN2017	29
NaN	NaN2141	5
NaN	NaN235	30
NaN	NaN252	49
NaN	NaN178	13
NaN	NaN1669	23
NaN	NaN2128	58
NaN	NaN122	47
NaN	NaN1172	35
NaN	NaN1955	52
NaN	NaN1232	25
NaN	NaN1289	58
NaN	NaN1773	36
NaN	NaN245	25
NaN	NaN2124	45
NaN	NaN374	27
NaN	NaN1305	6
NaN	NaN1729	8
NaN	NaN524	58
NaN	NaN144	14
NaN	NaN261	29
NaN	NaN1720	56
NaN	NaN0575	11
NaN	NaN290	18
NaN	NaN532	32
NaN	NaN1280	74
NaN	NaN0995	24
NaN	NaN1868	52
NaN	NaN2303	46
NaN	NaN1693	12
NaN	NaN2156	40
NaN	NaN0842	74
NaN	NaN0780	37
NaN	NaN296	29
NaN	NaN2024	86
NaN	NaN1146	54
NaN	NaN0936	11
NaN	NaN0789	40
NaN	NaN0732	32
NaN	NaN2175	16
NaN	NaN1494	10
NaN	NaN0671	13
NaN	NaN304	31
NaN	NaN0908	45
NaN	NaN69	70
NaN	NaN1746	49
NaN	NaN1942	49
NaN	NaN1398	6
NaN	NaN1836	7
NaN	NaN426	40
NaN	NaN0618	21
NaN	NaN0652	15
NaN	NaN1020	25
NaN	NaN27	34
NaN	NaN1687	42
NaN	NaN1386	26
NaN	NaN314	38
NaN	NaN0791	58
NaN	NaN1173	66
NaN	NaN1584	21
NaN	NaN0627	42
NaN	NaN2075	53
NaN	NaN420	12
NaN	NaN1129	78
NaN	NaN0032	50
NaN	NaN0968	60
NaN	NaN1895	51
NaN	NaN0556	49
NaN	NaN181	14
NaN	NaN1252	84
NaN	NaN243	23
NaN	NaN1542	36
NaN	NaN1474	11
NaN	NaN1311	60
NaN	NaN2195	1
NaN	NaN65	57
NaN	NaN0691	91
NaN	NaN1218	33
NaN	NaN1093	37
NaN	NaN0727	28
NaN	NaN2242	44
NaN	NaN211	33
NaN	NaN2322	61
NaN	NaN1378	32
NaN	NaN1271	36
NaN	NaN385	33
NaN	NaN0924	14
NaN	NaN2136	18
NaN	NaN201	42
NaN	NaN0771	60
NaN	NaN1984	13
NaN	NaN1347	16
NaN	NaN1646	50
NaN	NaN1227	26
NaN	NaN1875	40
NaN	NaN0718	48
NaN	NaN444	40
NaN	NaN0956	36
NaN	NaN0568	30
NaN	NaN26	29
NaN	NaN1787	29
NaN	NaN0752	74
NaN	NaN0884	53
NaN	NaN1425	45
NaN	NaN0680	48
NaN	NaN1793	39
NaN	NaN2068	35
NaN	NaN0595	10
NaN	NaN1856	59
NaN	NaN2108	33
NaN	NAN352	16
NaN	NaN250	4
NaN	NaN0689	15
NaN	NaN0975	11
NaN	NaN0632	60
NaN	NaN364	24
NaN	NaN256	31
NaN	NaN1673	38
NaN	NaN271	25
NaN	NaN126	20
NaN	NaN1629	22
NaN	NaN2168	23
NaN	NaN1620	35
NaN	NaN1824	28
NaN	NaN2008	9
NaN	NaN0018	51
NaN	NaN536	13
NaN	NaN1731	23
NaN	NaN408	11
NaN	NaN2004	27
NaN	NaN1760	48
NaN	NaN0014	27
NaN	NaN1828	30
NaN	NaN2323	34
NaN	NaN1510	2
NaN	NaN0745	60
NaN	NaN1519	20
NaN	NaN168	57
NaN	NaN2164	24
NaN	NaN399	10
NaN	NaN0835	20
NaN	NaN1841	71
NaN	NaN1543	32
NaN	NaN1769	67
NaN	NaN1709	27
NaN	NAN345	26
NaN	NaN0753	44
NaN	NaN418	25
NaN	NaN90	38
NaN	NaN2104	46
NaN	NaN1325	29
NaN	NaN1555	45
NaN	NaN0896	17
NaN	NaN1817	67
NaN	NaN1245	26
NaN	NaN2064	57
NaN	NaN1700	30
NaN	NaN1192	15
NaN	NaN292	24
NaN	NaN2255	37
NaN	NaN0888	23
NaN	NaN0607	46
NaN	NaN0633	78
NaN	NaN422	29
NaN	NaN0564	7
NaN	NaN0714	48
NaN	NaN1576	24
NaN	NaN1988	37
NaN	NaN434	29
NaN	NaN1996	3
NaN	NaN0917	66
NaN	NaN2276	14
NaN	NaN1100	56
NaN	NaN1792	1
NaN	NaN0928	29
NaN	NaN1160	60
NaN	NaN288	8
NaN	NaN97	38
NaN	NaN1651	68
NaN	NaN1411	53
NaN	NaN1374	33
NaN	NaN233	19
NaN	NaN0941	11
NaN	Nan494	40
NaN	NaN1000	54
NaN	NaN1478	30
NaN	NaN1169	43
NaN	NaN1672	40
NaN	NaN1935	21
NaN	NaN1323	77
NaN	NaN0867	72
NaN	NaN331	38
NaN	NaN1872	7
NaN	NaN1379	47
NaN	NaN0755	7
NaN	NaN1210	32
NaN	NaN74	48
NaN	NaN1370	12
NaN	NaN2253	74
NaN	NaN1219	3
NaN	NaN2092	43
NaN	NaN327	65
NaN	NaN268	20
NaN	NaN1553	37
NaN	NaN1851	49
NaN	NaN0743	16
NaN	NaN2325	27
NaN	NaN0569	16
NaN	NAN344	58
NaN	NaN0719	17
NaN	NaN2192	29
NaN	NaN0710	80
NaN	NaN192	13
NaN	NaN1545	24
NaN	NaN2245	37
NaN	NaN0807	24
NaN	NaN0833	55
NaN	NaN0560	8
NaN	NaN452	21
NaN	NaN2060	31
NaN	NaN1704	25
NaN	NaN1457	34
NaN	NaN2031	69
NaN	NaN0688	36
NaN	NaN0696	83
NaN	NaN1617	24
NaN	NaN1316	37
NaN	NaN2109	20
NaN	NaN1907	38
NaN	NaN2069	55
NaN	NaN435	38
NaN	NaN1641	33
NaN	NaN0019	9
NaN	NaN2009	54
NaN	NaN0592	24
NaN	NaN133	38
NaN	NaN2160	17
NaN	NaN2131	40
NaN	NaN1967	16
NaN	NaN0972	31
NaN	NaN0635	6
NaN	NaN517	28
NaN	NaN1514	25
NaN	NaN1422	42
NaN	NaN0951	24
NaN	NaN0010	21
NaN	NaN2000	10
NaN	NaN0587	30
NaN	NaN62	54
NaN	NaN373	21
NaN	NaN1768	60
NaN	NaN2093	29
NaN	NaN1552	43
NaN	NaN111	73
NaN	NaN143	34
NaN	NaN41	27
NaN	NaN2252	27
NaN	NaN1518	66
NaN	NaN1820	38
NaN	NaN2311	27
NaN	NaN1829	39
NaN	NaN1991	42
NaN	NaN1322	32
NaN	NaN1571	13
NaN	NaN1873	25
NaN	NaN40	8
NaN	NaN0832	15
NaN	NaN1416	18
NaN	NaN1095	82
NaN	NaN1136	34
NaN	NaN1656	13
NaN	NaN2193	2
NaN	NaN1357	12
NaN	NaN445	17
NaN	NaN1527	14
NaN	NaN0742	37
NaN	NaN0684	32
NaN	NaN1708	10
NaN	NaN0946	10
NaN	NaN28	34
NaN	NaN1932	50
NaN	NaN1989	42
NaN	NaN1675	85
NaN	NaN1736	27
NaN	NaN1068	36
NaN	NaN303	20
NaN	NaN1846	45
NaN	NaN220	19
NaN	NaN226	31
NaN	Vasc1	41
NaN	NaN0920	26
NaN	NaN313	11
NaN	NaN1168	97
NaN	NaN1423	83
NaN	NaN0973	41
NaN	NaN0929	24
NaN	NaN0593	64
NaN	NaN2087	48
NaN	NaN0891	16
NaN	NaN1470	28
NaN	NaN375	48
NaN	NaN161	31
NaN	NaN46	46
NaN	NaN145	32
NaN	NaN2232	45
NaN	NaN2305	42
NaN	NaN1695	45
NaN	NaN1124	31
NaN	NaN0827	59
NaN	NaN2280	24
NaN	NaN1363	23
NaN	NaN401	60
NaN	NaN1580	16
NaN	NaN190	23
NaN	NaN0852	70
NaN	NaN2146	41
NaN	NaN1024	5
NaN	NaN1887	48
NaN	NaN1156	40
NaN	NaN1636	61
NaN	NaN1337	56
NaN	NaN0818	67
NaN	NaN1303	16
NaN	NaN1775	51
NaN	NaN0993	51
NaN	NaN0573	19
NaN	NaN1490	38
NaN	NaN1918	35
NaN	NaN2073	51
NaN	NaN1175	39
NaN	NaN1952	34
NaN	NaN1756	19
NaN	NaN2029	71
NaN	NaN0987	67
NaN	NaN2020	75
NaN	NaN456	47
NaN	NaN1591	19
NaN	NaN1608	37
NaN	NaN1893	13
NaN	NaN0642	14
NaN	NaN0784	25
NaN	NaN1075	26
NaN	NaN1462	26
NaN	NaN363	10
NaN	NaN315	13
NaN	NaN1668	16
NaN	NaN2129	53
NaN	NaN450	14
NaN	NaN1724	36
NaN	NaN0546	13
NaN	NaN281	29
NaN	NaN1927	44
NaN	NaN1481	20
NaN	NaN2120	9
NaN	NaN1869	54
NaN	NaN1741	18
NaN	NaN0735	43
NaN	NaN1362	39
NaN	NaN0676	74
NaN	NaN1381	33
NaN	NaN1728	36
NaN	NaN1664	52
NaN	NaN218	35
NaN	NaN1860	32
NaN	NaN1533	8
NaN	NaN1507	26
NaN	NaN1831	3
NaN	NaN0572	54
NaN	NaN1567	31
NaN	NaN0788	77
NaN	NaN1800	57
NaN	NaN1604	59
NaN	NaN0992	50
NaN	NaN0796	22
NaN	NaN1717	38
NaN	NaN208	10
NaN	NaN1302	59
NaN	NaN1235	51
NaN	NaN0551	21
NaN	NaN1914	1
NaN	NaN1809	6
NaN	NaN1892	25
NaN	NaN0035	30
NaN	NaN0643	45
NaN	NaN2051	72
NaN	NaN1437	52
NaN	NaN1117	6
NaN	NaN1041	9
NaN	NaN0900	7
NaN	NaN1399	34
NaN	NaN0619	36
NaN	NaN1953	82
NaN	NaN1390	12
NaN	NaN0909	76
NaN	NaN0814	37
NaN	NaN0610	34
NaN	NaN329	27
NaN	NaN433	35
NaN	NaN1017	36
NaN	NaN1141	56
NaN	NaN135	40
NaN	NaN234	24
NaN	NaN0969	10
NaN	NaN2151	19
NaN	NaN1128	34
NaN	NaN0960	60
NaN	Nan493	50
NaN	NaN2172	17
NaN	NaN222	27
NaN	NaN0931	39
NaN	NaN1945	34
NaN	NaN152	44
NaN	NaN98	69
NaN	NaN1463	69
NaN	NaN278	37
NaN	NaN1565	60
NaN	NaN179	35
NaN	NaN2126	34
NaN	NaN2054	50
NaN	NaN1715	47
NaN	NaN2265	23
NaN	NaN0549	7
NaN	NaN1237	30
NaN	NaN1203	17
NaN	NaN0763	61
NaN	NaN0811	22
NaN	NaN417	20
NaN	NaN2154	84
NaN	NaN242	32
NaN	NaN167	25
NaN	NaN0703	26
NaN	NaN1263	46
NaN	NaN0737	16
NaN	NaN1759	41
NaN	NaN2026	56
NaN	NaN1144	36
NaN	NaN0847	13
NaN	NaN2205	45
NaN	NaN535	32
NaN	NaN407	38
NaN	NaN1750	61
NaN	NaN2332	29
NaN	NaN0934	24
NaN	NaN1505	16
