"","dvariants","GeneNb"
"1","1",6163
"2","2",4117
"3","3",3173
"4","4",2269
"5","5",1506
"6","6",1076
"7","7",711
"8","8",416
"9","9",303
"10","10",178
"11","11",119
"12","12",84
"13","13",60
"14","14",42
"15","15",26
"16","16",12
"17","17",9
"18","18",11
"19","19",5
"20","20",7
"21","21",6
"22","22",2
"23","23",1
"24","24",2
"25","25",0
"26","26",1
"27","27",1
